"respondent_id","true_profile","department","tenure","level","oe_worked","oe_hard","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15"
"R0001","Moderate-High Engagement","Marketing","3-5 years","Manager",NA,"idk",4,2,3,3,4,3,1,4,2,4,4,4,2,3,4
"R0002","Low Engagement","Content","Under 1 year","Senior IC","n/a","nothing",2,1,2,2,1,1,3,3,1,1,2,4,3,2,1
"R0003","High Engagement","Marketing","Under 1 year","Senior IC","Short enough that I could give real answers instead of rushing.",NA,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3
"R0004","Moderate-Low Engagement","Operations","1-3 years","Senior IC","It was clear what each question was getting at.",NA,4,4,4,3,3,2,2,2,4,3,1,1,2,2,3
"R0005","Moderate-High Engagement","Engineering","1-3 years","Individual contributor","It was clear what each question was getting at.",NA,2,4,3,2,4,4,4,NA,2,NA,4,4,3,4,3
"R0006","Moderate-Low Engagement","Product","Under 1 year","Individual contributor","not really",NA,2,3,3,4,1,3,1,3,1,1,3,2,3,NA,1
"R0007","High Engagement","Content","5+ years","Individual contributor","The examples actually matched the kind of work I do day to day.","none",4,4,4,4,4,4,3,4,4,3,3,4,4,4,3
"R0008","Moderate-High Engagement","Content","5+ years","Senior IC","I liked that it asked about things nobody usually asks about.",NA,4,4,3,3,3,4,2,4,4,1,4,3,3,4,3
"R0009","Moderate-Low Engagement","Content","1-3 years","Senior IC","It was clear what each question was getting at.",NA,1,4,1,1,3,3,4,NA,2,2,2,2,3,4,2
"R0010","Low Engagement","Product","1-3 years","Individual contributor","It was short.","Font was small.",2,1,1,1,1,1,2,2,2,1,1,2,1,2,1
"R0011","Low Engagement","Content","3-5 years","Manager","no","Too long.",2,3,3,1,1,1,1,NA,2,2,1,1,1,2,2
"R0012","Moderate-High Engagement","Data & Analytics","1-3 years","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,4,4,4,3,4,2,4,4,3,2,4,4,4,2,3
"R0013","Moderate-Low Engagement","Operations","3-5 years","Individual contributor","It was short.",NA,3,4,3,3,4,4,3,4,1,1,2,3,2,3,3
"R0014","Moderate-Low Engagement","Engineering","Under 1 year","Individual contributor","It was short.","The scale was confusing.",2,3,2,1,3,2,1,2,4,3,3,2,2,2,2
"R0015","Moderate-High Engagement","Product","3-5 years","Individual contributor","It was clear what each question was getting at.","The scale was confusing.",2,2,4,4,4,3,3,4,4,4,4,3,4,3,3
"R0016","Moderate-High Engagement","Engineering","1-3 years","Individual contributor","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",4,4,NA,3,4,4,4,4,3,4,2,4,2,4,2
"R0017","High Engagement","Engineering","1-3 years","Senior IC","I liked that it asked about things nobody usually asks about.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,2,2,3,4,4,3,4,3,4,2,4,3,3,3
"R0018","High Engagement","Operations","5+ years","Individual contributor","The examples actually matched the kind of work I do day to day.","There was no option to say a question did not apply to me.",4,2,4,3,4,4,4,3,2,3,NA,4,4,3,1
"R0019","Moderate-Low Engagement","Engineering","Under 1 year","Senior IC","I liked that it asked about things nobody usually asks about.","There was no option to say a question did not apply to me.",2,1,2,2,1,2,3,1,3,3,3,2,NA,3,3
